File,Mg_flag,Al_flag,Si_flag,P_flag,S_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,As_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Nb_flag,Mo_flag,Ba_flag,Pb_flag,Th_flag,U_flag
3775,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3776,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3777,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3778,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3779,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3780,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3781,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3782,,,,,,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3783,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3784,,,,[LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3785,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3786,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3787,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3788,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3789,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,[LOW][LOW-ERR],,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3790,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],,,,[LOW][LOW-ERR],,[LOW][LOW-ERR],,[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3791,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,[LOW][LOW-ERR],[LOW-ERR],,,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3792,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,,,,,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
3793,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW-ERR],,,,,[LOW][LOW-ERR],,,[LOW][LOW-ERR],,,[LOW][LOW-ERR],[LOW][LOW-ERR],,,,,[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],[LOW][LOW-ERR],,[LOW][LOW-ERR]
