Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\MeinZeugs\Uni\Publikationen\2025\MeIn pXRF\DAQ\Device_monitoring_sample_element_precision_Schauer\data_raw\Example_Precision\PDZ\03388-Mudrock Dual.pdz
SerialString,SG2-6390
TubeTargetElement,45
NumberOfSpectra,2
SampleID,
AcquisitionDateTime,1/1/2006 12:02:44 PM
TotalElapsedTimeInSeconds,0
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
ParametersForEachSpectrum,Spectrum 1,,Spectrum 2,
574,11.46072,608,11.46,1150
575,11.48072,614,11.48,1133
576,11.50072,628,11.5,1102
577,11.52072,657,11.52,1119
578,11.54072,650,11.54,1078
579,11.56072,699,11.56,1090
580,11.58072,702,11.58,1106
581,11.60072,733,11.6,1068
582,11.62072,708,11.62,1135
583,11.64072,754,11.64,1052
584,11.66072,822,11.66,1020
585,11.68072,809,11.68,1148
586,11.70072,895,11.7,1123
587,11.72072,944,11.72,1029
588,11.74072,872,11.74,1102
589,11.76072,871,11.76,1023
590,11.78072,836,11.78,1045
591,11.80072,741,11.8,1031
592,11.82072,773,11.82,1068
593,11.84072,813,11.84,1060
594,11.86072,755,11.86,1074
595,11.88072,771,11.88,996
596,11.90072,744,11.9,975
597,11.92072,803,11.92,1013
598,11.94072,776,11.94,1002
599,11.96072,723,11.96,988
600,11.98072,785,11.98,1002
601,12.00072,796,12,948
602,12.02072,810,12.02,970
603,12.04072,824,12.04,1028
604,12.06072,851,12.06,942
605,12.08072,827,12.08,861
606,12.10072,926,12.1,958
607,12.12072,962,12.12,879
608,12.14072,1022,12.14,916
609,12.16072,1004,12.16,918
610,12.18072,1044,12.18,870
611,12.20072,1068,12.2,870
612,12.22072,1186,12.22,958
613,12.24072,1086,12.24,937
614,12.26072,1212,12.26,885
615,12.28072,1190,12.28,871
616,12.30072,1184,12.3,887
617,12.32072,1131,12.32,895
618,12.34072,1258,12.34,858
619,12.36072,1150,12.36,819
620,12.38072,1259,12.38,905
621,12.40072,1280,12.4,846
622,12.42072,1421,12.42,808
623,12.44072,1750,12.44,753
624,12.46072,2117,12.46,893
625,12.48072,2646,12.48,807
626,12.50072,3439,12.5,772
627,12.52072,4327,12.52,791
628,12.54072,5187,12.54,829
629,12.56072,6090,12.56,818
630,12.58072,6553,12.58,882
631,12.60072,6674,12.6,828
632,12.62072,6742,12.62,851
633,12.64072,6303,12.64,787
634,12.66072,5564,12.66,792
635,12.68072,4824,12.68,819
636,12.70072,4066,12.7,857
637,12.72072,3345,12.72,787
638,12.74072,2821,12.74,836
639,12.76072,2493,12.76,850
640,12.78072,2021,12.78,804
641,12.80072,1815,12.8,802
642,12.82072,1594,12.82,849
643,12.84072,1572,12.84,722
644,12.86072,1506,12.86,780
645,12.88072,1422,12.88,748
646,12.90072,1420,12.9,716
647,12.92072,1373,12.92,709
648,12.94072,1400,12.94,674
649,12.96072,1474,12.96,642
650,12.98072,1367,12.98,645
651,13.00072,1374,13,641
652,13.02072,1371,13.02,638
653,13.04072,1256,13.04,601
654,13.06072,1325,13.06,596
655,13.08072,1312,13.08,625
656,13.10072,1290,13.1,622
657,13.12072,1343,13.12,536
658,13.14072,1333,13.14,561
659,13.16072,1438,13.16,536
660,13.18072,1544,13.18,554
661,13.20072,1718,13.2,561
662,13.22072,2045,13.22,563
